series_id,mae_naive,mae_point,mae_qmedian,mean_demand
FOODS_1_180_CA_1_validation,1.7645398,1.3212423,1.3231678,1.3016658
FOODS_1_181_CA_1_validation,3.3083005,2.3536105,2.3513627,2.864201
FOODS_1_182_CA_1_validation,1.3438735,0.9856318,0.9833618,0.9824958
FOODS_1_183_CA_1_validation,2.5053642,1.9529375,1.9315685,2.9743083
FOODS_1_184_CA_1_validation,2.188594,1.601695,1.5983028,2.214709
FOODS_1_185_CA_1_validation,1.2693393,0.9829245,0.979911,1.0550536
FOODS_1_186_CA_1_validation,0.8356861,0.7484566,0.7347834,0.78867877
FOODS_1_187_CA_1_validation,1.0841333,0.8630478,0.85709697,0.8623659
FOODS_1_188_CA_1_validation,1.7092038,1.3082821,1.2929921,1.8104178
FOODS_1_189_CA_1_validation,0.91869,0.6588624,0.66641605,0.55547714
FOODS_1_190_CA_1_validation,2.2151327,1.6239959,1.6248274,2.2857141
FOODS_1_191_CA_1_validation,0.3963862,0.2582854,0.25393996,0.22529644
FOODS_1_192_CA_1_validation,0.8300395,0.6668028,0.6578197,0.770751
FOODS_1_193_CA_1_validation,1.6036139,1.2039715,1.1901293,1.3077358
FOODS_1_194_CA_1_validation,1.4658386,1.1198702,1.114475,1.365895
FOODS_1_195_CA_1_validation,1.2365896,0.98170567,0.97184193,1.2148504
FOODS_1_196_CA_1_validation,1.7843026,1.2289623,1.2165613,1.3561547
FOODS_1_197_CA_1_validation,0.49745908,0.3795752,0.38307258,0.30350083
FOODS_1_198_CA_1_validation,0.8413326,0.6621705,0.64949507,0.67433655
FOODS_1_199_CA_1_validation,0.96386224,0.6479783,0.6476863,0.61490685
FOODS_1_200_CA_1_validation,4.41502,3.5954292,3.641235,6.901468
FOODS_1_201_CA_1_validation,1.2744212,1.0117967,0.9932594,1.4675324
FOODS_1_202_CA_1_validation,1.6307172,1.2461863,1.2302306,1.467956
FOODS_1_203_CA_1_validation,1.3416148,0.93171865,0.9302964,0.85827214
FOODS_1_204_CA_1_validation,2.7747035,2.0416708,2.012361,2.7721624
FOODS_1_205_CA_1_validation,0.65048,0.55462396,0.55877435,0.49788254
FOODS_1_206_CA_1_validation,2.0107284,1.4867325,1.4742576,1.8006777
FOODS_1_207_CA_1_validation,1.5601356,1.2274537,1.2145355,1.48786
FOODS_1_208_CA_1_validation,1.4641445,1.1191996,1.1191938,1.2631283
FOODS_1_209_CA_1_validation,0.71936756,0.59342504,0.5884997,0.68379444
FOODS_1_210_CA_1_validation,0.9401468,0.7814007,0.7729956,1.0059289
FOODS_1_211_CA_1_validation,0.25127047,0.16137326,0.16558306,0.14158668
FOODS_1_212_CA_1_validation,0.65443254,0.4501698,0.44369775,0.39356294
FOODS_1_213_CA_1_validation,0.8402033,0.68474716,0.6781556,0.69720495
FOODS_1_214_CA_1_validation,1.1044608,0.83453584,0.8334201,0.83526254
FOODS_1_215_CA_1_validation,1.2800678,0.94091284,0.92319965,0.8414737
FOODS_1_216_CA_1_validation,0.8362507,0.69842404,0.69529474,0.6446923
FOODS_1_217_CA_1_validation,2.7442124,2.2042415,2.2214675,3.3848107
FOODS_1_218_CA_1_validation,5.821005,4.244951,4.2300506,9.233484
FOODS_1_219_CA_1_validation,1.7814795,1.4515575,1.4342608,2.5863917
